PyTorch 线性回归训练日志
================================
真实函数：y = 5 * x + -1 + noise
样本数量：100
学习率：0.08

epoch | loss | weight | bias
    1 | 85.48138 |  2.3214 | -0.1203
    2 | 22.80596 |  3.6330 | -0.2593
    3 |  6.34457 |  4.3024 | -0.3760
    4 |  1.95901 |  4.6439 | -0.4741
    5 |  0.74720 |  4.8182 | -0.5564
    6 |  0.38241 |  4.9072 | -0.6256
    7 |  0.25269 |  4.9526 | -0.6837
    8 |  0.19440 |  4.9757 | -0.7326
    9 |  0.16192 |  4.9875 | -0.7736
   10 |  0.14127 |  4.9936 | -0.8080
   11 |  0.12728 |  4.9967 | -0.8369
   12 |  0.11756 |  4.9982 | -0.8613
   13 |  0.11074 |  4.9990 | -0.8817
   14 |  0.10594 |  4.9994 | -0.8988
   15 |  0.10256 |  4.9996 | -0.9132
   16 |  0.10017 |  4.9998 | -0.9253
   17 |  0.09849 |  4.9998 | -0.9355
   18 |  0.09730 |  4.9998 | -0.9440
   19 |  0.09646 |  4.9999 | -0.9512
   20 |  0.09587 |  4.9999 | -0.9572
   21 |  0.09545 |  4.9999 | -0.9623
   22 |  0.09516 |  4.9999 | -0.9665
   23 |  0.09495 |  4.9999 | -0.9701
   24 |  0.09480 |  4.9999 | -0.9731
   25 |  0.09470 |  4.9999 | -0.9756
   26 |  0.09463 |  4.9999 | -0.9777
   27 |  0.09458 |  4.9999 | -0.9795
   28 |  0.09454 |  4.9999 | -0.9810
   29 |  0.09451 |  4.9999 | -0.9823
   30 |  0.09450 |  4.9999 | -0.9833
   31 |  0.09448 |  4.9999 | -0.9842
   32 |  0.09447 |  4.9999 | -0.9850
   33 |  0.09447 |  4.9999 | -0.9856
   34 |  0.09446 |  4.9999 | -0.9861
   35 |  0.09446 |  4.9999 | -0.9865
   36 |  0.09446 |  4.9999 | -0.9869
   37 |  0.09446 |  4.9999 | -0.9872
   38 |  0.09446 |  4.9999 | -0.9875
   39 |  0.09445 |  4.9999 | -0.9877
   40 |  0.09445 |  4.9999 | -0.9879
   41 |  0.09445 |  4.9999 | -0.9880
   42 |  0.09445 |  4.9999 | -0.9882
   43 |  0.09445 |  4.9999 | -0.9883
   44 |  0.09445 |  4.9999 | -0.9884
   45 |  0.09445 |  4.9999 | -0.9885
   46 |  0.09445 |  4.9999 | -0.9885
   47 |  0.09445 |  4.9999 | -0.9886
   48 |  0.09445 |  4.9999 | -0.9886
   49 |  0.09445 |  4.9999 | -0.9887
   50 |  0.09445 |  4.9999 | -0.9887
   51 |  0.09445 |  4.9999 | -0.9887
   52 |  0.09445 |  4.9999 | -0.9887
   53 |  0.09445 |  4.9999 | -0.9888
   54 |  0.09445 |  4.9999 | -0.9888
   55 |  0.09445 |  4.9999 | -0.9888
   56 |  0.09445 |  4.9999 | -0.9888
   57 |  0.09445 |  4.9999 | -0.9888
   58 |  0.09445 |  4.9999 | -0.9888
   59 |  0.09445 |  4.9999 | -0.9888
   60 |  0.09445 |  4.9999 | -0.9888
   61 |  0.09445 |  4.9999 | -0.9888
   62 |  0.09445 |  4.9999 | -0.9888
   63 |  0.09445 |  4.9999 | -0.9888
   64 |  0.09445 |  4.9999 | -0.9888
   65 |  0.09445 |  4.9999 | -0.9888
   66 |  0.09445 |  4.9999 | -0.9888
   67 |  0.09445 |  4.9999 | -0.9888
   68 |  0.09445 |  4.9999 | -0.9889
   69 |  0.09445 |  4.9999 | -0.9889
   70 |  0.09445 |  4.9999 | -0.9889
   71 |  0.09445 |  4.9999 | -0.9889
   72 |  0.09445 |  4.9999 | -0.9889
   73 |  0.09445 |  4.9999 | -0.9889
   74 |  0.09445 |  4.9999 | -0.9889
   75 |  0.09445 |  4.9999 | -0.9889
   76 |  0.09445 |  4.9999 | -0.9889
   77 |  0.09445 |  4.9999 | -0.9889
   78 |  0.09445 |  4.9999 | -0.9889
   79 |  0.09445 |  4.9999 | -0.9889
   80 |  0.09445 |  4.9999 | -0.9889

训练后学到的 weight：4.999866
训练后学到的 bias：-0.988857
观察：weight 应该接近 5，bias 应该接近 -1。
