Day10 过拟合与正则化实验汇总
================================================
数据设置：训练集 40 个点，其中 15% 标签被故意翻转；测试集 400 个点，不加标签噪声。
观察重点：不要只看 train_acc，要看 test_acc 以及 train_acc - test_acc 的 gap。

model | train_loss | test_loss | train_acc | test_acc | gap
baseline | 0.01141 | 1.65734 | 1.000 | 0.695 | 0.305
weight_decay | 0.16279 | 1.30367 | 0.925 | 0.650 | 0.275
dropout | 0.15923 | 0.56535 | 0.975 | 0.748 | 0.228

训练集 accuracy 最高：baseline (1.000)
测试集 accuracy 最高：dropout (0.748)
train/test gap 最小：dropout (0.228)

结论：baseline 最容易记住小训练集；weight decay 和 dropout 会牺牲一点训练集表现，换取更稳的泛化表现。

baseline 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
    1 |    0.53622 |     0.675 |    0.630 | 0.045
    2 |    0.42345 |     0.825 |    0.863 | -0.038
    3 |    0.43891 |     0.750 |    0.890 | -0.140
    4 |    0.41727 |     0.800 |    0.840 | -0.040
    5 |    0.36439 |     0.850 |    0.845 | 0.005
    6 |    0.34554 |     0.825 |    0.835 | -0.010
    7 |    0.32871 |     0.825 |    0.820 | 0.005
    8 |    0.31123 |     0.875 |    0.820 | 0.055
    9 |    0.30671 |     0.875 |    0.812 | 0.062
   10 |    0.28453 |     0.875 |    0.815 | 0.060
   11 |    0.29412 |     0.900 |    0.735 | 0.165
   12 |    0.26444 |     0.900 |    0.760 | 0.140
   13 |    0.26887 |     0.900 |    0.815 | 0.085
   14 |    0.27075 |     0.875 |    0.785 | 0.090
   15 |    0.24624 |     0.925 |    0.795 | 0.130
   16 |    0.23299 |     0.925 |    0.822 | 0.103
   17 |    0.21495 |     0.925 |    0.822 | 0.103
   18 |    0.21351 |     0.925 |    0.767 | 0.158
   19 |    0.20520 |     0.950 |    0.772 | 0.178
   20 |    0.20220 |     0.950 |    0.800 | 0.150
   21 |    0.20702 |     0.900 |    0.848 | 0.052
   22 |    0.19701 |     0.900 |    0.845 | 0.055
   23 |    0.17534 |     0.950 |    0.815 | 0.135
   24 |    0.16890 |     0.950 |    0.730 | 0.220
   25 |    0.19562 |     0.925 |    0.712 | 0.213
   26 |    0.15119 |     0.950 |    0.777 | 0.173
   27 |    0.14928 |     0.925 |    0.820 | 0.105
   28 |    0.14231 |     0.950 |    0.805 | 0.145
   29 |    0.12653 |     0.975 |    0.762 | 0.213
   30 |    0.13945 |     0.950 |    0.752 | 0.197
   31 |    0.13229 |     0.950 |    0.755 | 0.195
   32 |    0.11380 |     0.975 |    0.743 | 0.233
   33 |    0.11690 |     0.975 |    0.750 | 0.225
   34 |    0.10383 |     0.975 |    0.735 | 0.240
   35 |    0.11941 |     0.975 |    0.725 | 0.250
   36 |    0.10585 |     0.975 |    0.723 | 0.252
   37 |    0.13162 |     0.950 |    0.692 | 0.257
   38 |    0.11192 |     0.950 |    0.697 | 0.252
   39 |    0.11467 |     0.950 |    0.697 | 0.252
   40 |    0.10723 |     0.975 |    0.743 | 0.233
   41 |    0.10155 |     0.975 |    0.730 | 0.245
   42 |    0.08591 |     0.975 |    0.702 | 0.273
   43 |    0.09440 |     0.975 |    0.690 | 0.285
   44 |    0.07898 |     0.975 |    0.700 | 0.275
   45 |    0.12910 |     0.950 |    0.760 | 0.190
   46 |    0.14970 |     0.950 |    0.762 | 0.188
   47 |    0.11851 |     0.950 |    0.752 | 0.197
   48 |    0.07818 |     0.975 |    0.715 | 0.260
   49 |    0.08044 |     0.975 |    0.692 | 0.283
   50 |    0.08955 |     0.950 |    0.690 | 0.260
   51 |    0.07060 |     0.975 |    0.688 | 0.288
   52 |    0.08235 |     0.975 |    0.688 | 0.288
   53 |    0.07033 |     0.975 |    0.728 | 0.248
   54 |    0.12497 |     0.950 |    0.757 | 0.192
   55 |    0.05636 |     0.975 |    0.723 | 0.252
   56 |    0.06282 |     0.975 |    0.683 | 0.293
   57 |    0.06594 |     0.975 |    0.705 | 0.270
   58 |    0.08046 |     0.950 |    0.712 | 0.238
   59 |    0.05226 |     0.975 |    0.702 | 0.273
   60 |    0.17610 |     0.925 |    0.652 | 0.273
   61 |    0.05009 |     0.975 |    0.695 | 0.280
   62 |    0.05396 |     0.975 |    0.728 | 0.248
   63 |    0.06153 |     0.975 |    0.725 | 0.250
   64 |    0.04528 |     0.975 |    0.723 | 0.252
   65 |    0.04923 |     0.975 |    0.688 | 0.288
   66 |    0.06979 |     0.950 |    0.683 | 0.267
   67 |    0.04248 |     0.975 |    0.700 | 0.275
   68 |    0.05569 |     0.975 |    0.720 | 0.255
   69 |    0.05638 |     0.950 |    0.720 | 0.230
   70 |    0.04054 |     0.975 |    0.685 | 0.290
   71 |    0.05464 |     0.975 |    0.668 | 0.308
   72 |    0.04016 |     0.975 |    0.688 | 0.288
   73 |    0.03866 |     0.975 |    0.705 | 0.270
   74 |    0.03964 |     0.975 |    0.717 | 0.258
   75 |    0.03714 |     0.975 |    0.720 | 0.255
   76 |    0.03191 |     0.975 |    0.710 | 0.265
   77 |    0.02940 |     0.975 |    0.707 | 0.268
   78 |    0.02888 |     0.975 |    0.700 | 0.275
   79 |    0.02837 |     1.000 |    0.695 | 0.305
   80 |    0.02721 |     1.000 |    0.697 | 0.303
   81 |    0.02568 |     1.000 |    0.695 | 0.305
   82 |    0.02428 |     1.000 |    0.692 | 0.308
   83 |    0.02329 |     1.000 |    0.692 | 0.308
   84 |    0.02176 |     1.000 |    0.695 | 0.305
   85 |    0.02173 |     1.000 |    0.695 | 0.305
   86 |    0.02038 |     1.000 |    0.697 | 0.303
   87 |    0.02034 |     1.000 |    0.695 | 0.305
   88 |    0.01986 |     1.000 |    0.690 | 0.310
   89 |    0.01837 |     1.000 |    0.690 | 0.310
   90 |    0.01664 |     1.000 |    0.688 | 0.312
   91 |    0.01586 |     1.000 |    0.688 | 0.312
   92 |    0.01572 |     1.000 |    0.688 | 0.312
   93 |    0.01498 |     1.000 |    0.690 | 0.310
   94 |    0.01411 |     1.000 |    0.692 | 0.308
   95 |    0.01363 |     1.000 |    0.692 | 0.308
   96 |    0.01292 |     1.000 |    0.697 | 0.303
   97 |    0.01259 |     1.000 |    0.695 | 0.305
   98 |    0.01298 |     1.000 |    0.692 | 0.308
   99 |    0.01193 |     1.000 |    0.695 | 0.305
  100 |    0.01141 |     1.000 |    0.695 | 0.305

weight_decay 训练日志
========================================
